,publish_date,headline_text,length,V,A,D,label
0,2003-03-28,aboriginal community loses last initiated senior,6,2.3558574,3.0274837,2.8289375,descriptive
1,2003-05-02,vic police racism a significant problem report,7,2.4058483,3.0657878,3.0331948,emotive
2,2003-06-13,pipeline ablaze in iraq after bombing report,7,2.4489248,3.2020874,2.957806,descriptive
3,2003-12-15,fifteen missing after raft accident in indonesia,7,2.257496,3.1385186,2.7616394,descriptive
4,2004-01-21,teenager dies after sand cave collapse,6,1.8573897,3.1502333,2.6587818,descriptive
5,2004-04-11,fire engulfs tas sawmill,4,2.3679514,3.165834,2.9005084,emotive
6,2004-06-10,terror fears prompt palau security concerns,6,2.390424,3.1806672,2.885824,emotive
7,2004-06-12,thieves ram car into bottle shop,6,2.2822957,3.277825,3.0148394,descriptive
8,2004-07-03,four dead after kansas shooting spree,6,2.0195444,3.1763937,2.824758,emotive
9,2004-09-08,chinas flood death toll rises,5,2.0820582,3.1128685,2.7555923,emotive
10,2004-09-14,darfur death rates six times higher than normal,8,2.2290957,3.0991096,2.8715374,descriptive
11,2004-10-09,fire damages smithton mill,4,2.3572857,3.0335083,2.8537807,descriptive
12,2004-10-21,black facing lengthy stint on sidelines,6,2.3613648,3.0186777,2.8298838,emotive
13,2004-11-07,mutu says sorry to chelsea fans,6,2.2921135,2.9385705,2.7532415,emotive
14,2005-01-01,fears held for 111 missing australians,6,2.3019347,3.1982498,2.7800179,emotive
15,2005-05-25,finance staff lose on the job massages,7,2.3726997,2.9855397,2.8347762,emotive
16,2005-05-28,saudi arabia on alert as king ails,7,2.4311156,3.1005197,2.8312879,emotive
17,2005-07-10,six afghan policemen found beheaded,5,1.9834095,3.1697242,2.8226116,descriptive
18,2005-07-15,muslims under pressure in wake of uk attacks,8,2.4644053,3.06615,2.9564521,emotive
19,2005-11-18,suspended sentence for driver guilty of girls,7,2.4251254,3.0527818,2.9538136,descriptive
20,2005-11-30,corruption mismanagement has ruined nauru president,6,2.3166568,3.0364037,2.8807178,emotive
21,2006-03-31,kangaroo is residents may face power disruptions,7,2.447497,2.9667375,2.8442059,descriptive
22,2006-05-23,ratepayers warned of waste management cost,6,2.4870286,3.0173302,2.9224634,emotive
23,2006-05-31,supplies run low in dili camps,6,2.3680384,2.9119635,2.8041763,descriptive
24,2006-06-18,violence erupts in kashmir,4,2.3709848,3.295287,3.0112793,emotive
25,2006-06-27,head on crash blocks pacific highway,6,2.472798,3.0372038,2.9545,descriptive
26,2007-05-01,anti greenhouse measures penalise poor,5,2.3437512,2.9970744,2.9181793,emotive
27,2007-07-05,man jailed over child beatings,5,2.147164,3.2212682,2.9534297,descriptive
28,2007-07-10,litvinenko murder extradition refusal unacceptable,5,2.3758519,3.1892576,3.186179,emotive
29,2007-08-28,firefighters fall sick after ship fire,6,2.1532297,3.0942845,2.7188683,descriptive
30,2007-09-04,iraq confirms death sentence for chemical ali,7,2.2305381,3.165267,3.05393,descriptive
31,2007-12-31,lohan earns worst movie performance in online poll,8,2.47498,2.996881,2.9133792,emotive
